study_accession	sample_accession	experiment_accession	run_accession	scientific_name	library_name	nominal_length	library_source	read_count	study_title	fastq_bytes	fastq_md5	fastq_ftp	sample_alias
PRJEB12000	SAMEA3696444	ERX1236475	ERR1163068	metagenome	CTD1200_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	257938786;259348746	2c287446c420ac43aa002d0435eccdb4;6e65fc521a886bb99318ea1105d9d019	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/008/ERR1163068/ERR1163068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/008/ERR1163068/ERR1163068_2.fastq.gz	CTD1200_DNA
PRJEB12000	SAMEA3696444	ERX1236476	ERR1163069	metagenome	CTD1200_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	256866438;259861333	03eb9084b5946168ef7e0cdc438d5219;61415d8fcaf69eef30ee3862e304ae30	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/009/ERR1163069/ERR1163069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/009/ERR1163069/ERR1163069_2.fastq.gz	CTD1200_DNA
PRJEB12000	SAMEA3696444	ERX1236477	ERR1163070	metagenome	CTD1200_DNA	290	METAGENOMIC	1902355	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	122533238;124357547	8a34c23de9a0f0e459bc117be0187504;b90c0f6aae151eafda8db9ac18e22c90	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/000/ERR1163070/ERR1163070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/000/ERR1163070/ERR1163070_2.fastq.gz	CTD1200_DNA
PRJEB12000	SAMEA3696444	ERX1236478	ERR1163071	metagenome	CTD1200_DNA	290	METAGENOMIC	1702090	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	107773009;108529861	143b221b27a0f83de09d8e8f59d092f4;0e23a76a475ab797469d74f4d7e788ee	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/001/ERR1163071/ERR1163071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/001/ERR1163071/ERR1163071_2.fastq.gz	CTD1200_DNA
PRJEB12000	SAMEA3696444	ERX1236479	ERR1163072	metagenome	CTD1200_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	339732437;340989412	17e57a186911ad65558d70268d975852;1511ff16ec6cc5792bc9a13018ec3abf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/002/ERR1163072/ERR1163072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/002/ERR1163072/ERR1163072_2.fastq.gz	CTD1200_DNA
PRJEB12000	SAMEA3696444	ERX1236480	ERR1163073	metagenome	CTD1200_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	345030682;346896036	1f5bb1daa8ca8835dfaf63bf58d831c1;3d1de69afab8d55e5a0e094d3f5eb71a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/003/ERR1163073/ERR1163073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/003/ERR1163073/ERR1163073_2.fastq.gz	CTD1200_DNA
PRJEB12000	SAMEA3696444	ERX1236481	ERR1163074	metagenome	CTD1200_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	339776498;342981665	d3caa2113363a4adc68c150842df18ce;09663fced1ed8f4c239fec2079d04dfd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/004/ERR1163074/ERR1163074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/004/ERR1163074/ERR1163074_2.fastq.gz	CTD1200_DNA
PRJEB12000	SAMEA3696444	ERX1236482	ERR1163075	metagenome	CTD1200_DNA	290	METAGENOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	344322635;344720896	401cda12f21a1601f6e52b004d4ea8f1;4e02c5e859211fd761c089783dff77ff	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/005/ERR1163075/ERR1163075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/005/ERR1163075/ERR1163075_2.fastq.gz	CTD1200_DNA
PRJEB12000	SAMEA3696444	ERX1236483	ERR1163076	metagenome	CTD1200_DNA	290	METAGENOMIC	642596	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	57570336;58055322	cb6441aac60755c0d989c16a3b3b011d;7c5dfe35375c1223996bfb25e890d462	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/006/ERR1163076/ERR1163076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/006/ERR1163076/ERR1163076_2.fastq.gz	CTD1200_DNA
PRJEB12000	SAMEA3696445	ERX1236484	ERR1163077	metagenome	CTD1200_RNA	290	METATRANSCRIPTOMIC	4000000	Metagenomes and metatranscriptomes from the diffuse hydrothermal vents of Axial Seamount from 2014	264898903;268988917	c274d27ca4c346bf473e542fb5353c2a;8421c923ca289af7893c2ee724f41264	ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/007/ERR1163077/ERR1163077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR116/007/ERR1163077/ERR1163077_2.fastq.gz	CTD1200_RNA
